bike_id,company,last_updated,lat,lon,saved_at,tractid
CN9W,razor,1618706761,38.9041545,-76.9947603,1618706849,11001010602
VGZC,razor,1618706761,38.9015385,-77.0322355,1618706849,11001010100
GDDA,razor,1618706761,38.8736926,-77.0006688,1618706849,11001007201
QNZH,razor,1618706761,38.8748608,-77.0012365,1618706849,11001007201
MQJZ,razor,1618706761,38.8624723,-76.995024,1618706849,11001007401
WQSF,razor,1618706761,38.882389,-76.994845,1618706849,11001007000
M2QK,razor,1618706761,38.8863996,-77.0212495,1618706849,11001010202
NOZK,razor,1618706761,38.8863511,-77.0212388,1618706849,11001010202
TO31,razor,1618706761,38.9204998,-76.9958525,1618706849,11001009102
HNB9,razor,1618706761,38.8790706,-77.0224336,1618706849,11001010202
E5UQ,razor,1618706761,38.8747931,-77.0189733,1618706849,11001011002
VWW7,razor,1618706761,38.8761978,-77.0041626,1618706849,11001007201
B9NN,razor,1618706761,38.8762076,-77.0041691,1618706849,11001007201
F60N,razor,1618706761,38.9073496,-77.0078745,1618706849,11001010601
I6IC,razor,1618706761,38.9110675,-77.0064316,1618706849,11001008701
JYRF,razor,1618706761,38.876524,-76.9320711,1618706849,11001007707
JPCH,razor,1618706761,38.895392,-77.0402303,1618706849,11001010800
S81Q,razor,1618706761,38.89533,-77.0447411,1618706849,11001010800
JS8Y,razor,1618706761,38.9002945,-77.0412611,1618706849,11001010700
FUYA,razor,1618706761,38.8624568,-76.9950048,1618706849,11001007401
ENDU,razor,1618706761,38.8624358,-76.9950693,1618706849,11001007401
NUU8,razor,1618706761,38.8967246,-77.04458,1618706849,11001010800
MIPL,razor,1618706761,38.8957596,-77.0447855,1618706849,11001010800
GPCZ,razor,1618706761,38.8745901,-77.0028388,1618706849,11001007201
BY6V,razor,1618706761,38.8633733,-76.9933331,1618706849,11001007401
WEG3,razor,1618706761,38.8765501,-77.0077293,1618706849,11001007202
RBEH,razor,1618706761,38.8759576,-77.0041,1618706849,11001007201
TWOG,razor,1618706761,38.8627093,-76.9825815,1618706849,11001007504
VWXG,razor,1618706761,38.8624601,-76.9949868,1618706849,11001007401
SOEZ,razor,1618706761,38.8743071,-76.991439,1618706849,11001007100
IAAI,razor,1618706761,38.87431,-76.9914255,1618706849,11001007100
L3NY,razor,1618706761,38.8832376,-77.0261791,1618706849,11001010202
MYF7,razor,1618706761,38.884314,-77.0301843,1618706849,11001010202
GA9C,razor,1618706761,38.8598976,-76.9960253,1618706849,11001007401
K65J,razor,1618706761,38.8785146,-76.9306953,1618706849,11001007707
CG4G,razor,1618706761,38.8984678,-76.9314625,1618706849,11001007804
PXRS,razor,1618706761,38.8698856,-76.9778373,1618706849,11001007601
DNWK,razor,1618706761,38.885255,-76.9969416,1618706849,11001006600
NCSO,razor,1618706761,38.866531,-76.9839895,1618706849,11001007503
FD6M,razor,1618706761,38.9235501,-77.0329078,1618706849,11001003701
CBB2,razor,1618706761,38.9255611,-76.9828448,1618706849,11001009102
B2D4,razor,1618706761,38.888109,-76.9363406,1618706849,11001009906
VMSA,razor,1618706761,38.8854815,-76.9259581,1618706849,11001009905
JJRG,razor,1618706761,38.8855056,-76.9259383,1618706849,11001009905
KVCK,razor,1618706761,38.8867061,-76.9877098,1618706849,11001006700
VYV5,razor,1618706761,38.906315,-77.0060841,1618706849,11001010601
B5VE,razor,1618706761,38.8824908,-76.9900748,1618706849,11001006900
RXDX,razor,1618706761,38.885388,-76.9808485,1618706849,11001006802
OZOZ,razor,1618706761,38.890813,-77.040446,1618706849,11001980000
U94K,razor,1618706761,38.9225273,-77.0339198,1618706849,11001003701
K13D,razor,1618706761,38.9214151,-77.0353541,1618706849,11001003701
JXST,razor,1618706761,38.8800658,-77.0402153,1618706849,11001980000
K831,razor,1618706761,38.8783886,-76.931394,1618706849,11001007707
MZ9O,razor,1618706761,38.8996978,-77.0092925,1618706849,11001004702
E143,razor,1618706761,38.8998666,-77.0092823,1618706849,11001004702
MVCN,razor,1618706761,38.9103575,-77.0074508,1618706849,11001008701
OREO,razor,1618706761,38.9110606,-77.0064095,1618706849,11001008701
SYKF,razor,1618706761,38.9085223,-76.9980815,1618706849,11001008803
KOJ0,razor,1618706761,38.908529,-76.9980973,1618706849,11001008803
K9LT,razor,1618706761,38.9081003,-76.9971685,1618706849,11001008803
FF5E,razor,1618706761,38.869904,-76.9778541,1618706849,11001007601
E27N,razor,1618706761,38.9131755,-77.019986,1618706849,11001004801
HQU6,razor,1618706761,38.9128461,-77.0223113,1618706849,11001004901
HRQP,razor,1618706761,38.9126983,-77.0223215,1618706849,11001004901
BJG2,razor,1618706761,38.9126921,-77.0223381,1618706849,11001004901
OD0A,razor,1618706761,38.9097541,-77.0246148,1618706849,11001004901
T3T2,razor,1618706761,38.917008,-77.0247605,1618706849,11001004401
E7KF,razor,1618706761,38.8922656,-77.0333913,1618706849,11001980000
OB2G,razor,1618706761,38.9013288,-77.0408818,1618706849,11001010700
WH9Q,razor,1618706761,38.9030243,-77.0384985,1618706849,11001010700
LX3U,razor,1618706761,38.9028211,-77.0384951,1618706849,11001010700
F7AN,razor,1618706761,38.9015291,-77.0408545,1618706849,11001010700
V1NQ,razor,1618706761,38.9013898,-77.0407203,1618706849,11001010700
RNUK,razor,1618706761,38.9238086,-77.0403143,1618706849,11001003802
FUJD,razor,1618706761,38.8788471,-76.9311771,1618706849,11001007707
F9HW,razor,1618706761,38.8786316,-76.9312406,1618706849,11001007707
EHT0,razor,1618706761,38.917477,-77.0321091,1618706849,11001004300
TYWP,razor,1618706761,38.9168705,-77.0367603,1618706849,11001004201
J13T,razor,1618706761,38.9013665,-77.036684,1618706849,11001010700
LIMA,razor,1618706761,38.9007818,-77.035514,1618706849,11001010100
LYHN,razor,1618706761,38.8785416,-76.9309376,1618706849,11001007707
L070,razor,1618706761,38.9008535,-77.027057,1618706849,11001005802
P7DI,razor,1618706761,38.9100853,-77.0401305,1618706849,11001005303
KP7T,razor,1618706761,38.9098661,-77.0385896,1618706849,11001005303
BPPU,razor,1618706761,38.9029138,-77.0384955,1618706849,11001010700
VMQV,razor,1618706761,38.9104328,-77.0321601,1618706849,11001005202
TRTW,razor,1618706761,38.9037091,-77.034647,1618706969,11001010100
F7I4,razor,1618706761,38.9038385,-77.034644,1618706969,11001010100
VUKH,razor,1618706761,38.9015783,-77.0452898,1618706969,11001010700
JF5I,razor,1618706761,38.9008146,-77.0500911,1618706969,11001010800
PAIJ,razor,1618706761,38.913597,-77.045932,1618706969,11001005502
A4QY,razor,1618706761,38.8942895,-77.0416233,1618706969,11001010800
SL4P,razor,1618706761,38.8935791,-77.0401693,1618706969,11001010800
IJ32,razor,1618706761,38.8953545,-77.0397555,1618706969,11001010800
DXZE,razor,1618706761,38.974974,-77.0169755,1618706969,11001001702
EEXF,razor,1618706761,38.91562,-77.021572,1618706969,11001004801
WANI,razor,1618706761,38.8924688,-77.0396031,1618706969,11001010800
GQFE,razor,1618706761,38.9553143,-77.004534,1618706969,11001009508
BI60,razor,1618706761,38.9579628,-77.002015,1618706969,11001009505
DHFW,razor,1618706761,38.9268206,-77.0270066,1618706969,11001003100
E10P,razor,1618706761,38.9382248,-77.073444,1618706969,11001000600
SV65,razor,1618706761,38.9370221,-77.0240575,1618706969,11001002400
VP4P,razor,1618706761,38.9368095,-77.0241501,1618706969,11001002400
TI1G,razor,1618706761,38.9367891,-77.0241755,1618706969,11001002400
BRQE,razor,1618706761,38.9452875,-77.0647876,1618706969,11001001200
CE9I,razor,1618706761,38.944793,-77.0639336,1618706969,11001001200
P505,razor,1618706761,38.9438538,-77.0636356,1618706969,11001001200
V9F1,razor,1618706761,38.944796,-77.063971,1618706969,11001001200
EP0B,razor,1618706761,38.9111895,-77.0030575,1618706969,11001008702
R9VO,razor,1618706761,38.9112126,-77.0030845,1618706969,11001008702
ESDD,razor,1618706761,38.8922031,-77.0398121,1618706969,11001010800
V6EK,razor,1618706761,38.9296763,-77.0325015,1618706969,11001003000
O3B8,razor,1618706761,38.9289051,-77.0327031,1618706969,11001002802
OGR9,razor,1618706761,38.9287613,-77.0323478,1618706969,11001003000
B1YY,razor,1618706761,38.9287928,-77.0325948,1618706969,11001003000
LGPF,razor,1618706761,38.9290766,-77.0739781,1618706969,11001000704
R1I3,razor,1618706761,38.928799,-77.0324198,1618706969,11001003000
L1OH,razor,1618706761,38.9287888,-77.0324191,1618706969,11001003000
UHUD,razor,1618706761,38.961583,-77.0280068,1618706969,11001001804
A4HW,razor,1618706761,38.9256573,-76.9757061,1618706969,11001011100
ARRX,razor,1618706761,38.91294,-77.0223716,1618706969,11001004901
TXLL,razor,1618706761,38.9649211,-77.0122965,1618706969,11001001902
K50H,razor,1618706761,38.9367336,-77.0244035,1618706969,11001002503
IR6R,razor,1618706761,38.9051826,-77.0610236,1618706969,11001000102
IK2X,razor,1618706761,38.9052541,-77.0612658,1618706969,11001000102
JAKS,razor,1618706761,38.905162,-77.0638125,1618706969,11001000202
I0EM,razor,1618706761,38.9050995,-77.0592148,1618706969,11001000102
F4NU,razor,1618706761,38.8973381,-77.0319571,1618706969,11001005802
TT8J,razor,1618706761,38.8962746,-77.032253,1618706969,11001005802
J2MJ,razor,1618706761,38.8922546,-77.0333603,1618706969,11001980000
S2J4,razor,1618706761,38.8973165,-77.0318546,1618706969,11001005802
JUMM,razor,1618706761,38.8795516,-77.0241615,1618706969,11001010202
CHG1,razor,1618706761,38.8961328,-77.0102098,1618706969,11001005900
CXTX,razor,1618706761,38.9201345,-77.0716963,1618706969,11001000300
GONG,razor,1618706761,38.9043981,-77.0652563,1618706969,11001000202
JVNL,razor,1618706761,38.9273043,-77.088623,1618706969,11001000804
GD6S,razor,1618706761,38.9254166,-77.0576403,1618706969,11001000502
TREX,razor,1618706761,38.876503,-77.0076868,1618706969,11001007202
C8GH,razor,1618706761,38.9232086,-77.0027985,1618706969,11001009203
HHXL,razor,1618706761,38.9617333,-77.0280398,1618706969,11001001804
C0Y6,razor,1618706761,38.9615463,-77.02802,1618706969,11001001804
OZB2,razor,1618706761,38.9616333,-77.0281008,1618706969,11001001804
V80P,razor,1618706761,38.9614983,-77.0280461,1618706969,11001001804
OSCV,razor,1618706761,38.9386371,-77.0322535,1618706969,11001002504
V50F,razor,1618706761,38.9387156,-77.0322538,1618706969,11001002504
T6O2,razor,1618706761,38.9409461,-77.0216465,1618706969,11001002400
ADQS,razor,1618706761,38.940326,-77.0162083,1618706969,11001002301
NISG,razor,1618706761,38.9581513,-77.001762,1618706969,11001009505
RQKS,razor,1618706761,38.95806,-77.001834,1618706969,11001009505
QIV5,razor,1618706761,38.91255,-77.0727051,1618706969,11001000202
VLT7,razor,1618706761,38.9152736,-77.0743016,1618706969,11001000300
ADG7,razor,1618706761,38.9417488,-77.0363505,1618706969,11001002504
LD8H,razor,1618706761,38.9288078,-77.0324845,1618706969,11001003000
OWYT,razor,1618706761,38.8965645,-77.0333571,1618706969,11001005802
QSV1,razor,1618706761,38.8762956,-77.0165015,1618706969,11001011001
G3V7,razor,1618706761,38.8708621,-77.0108338,1618706969,11001006400
F5LB,razor,1618706761,38.9332668,-77.0317841,1618706969,11001002900
DHQD,razor,1618706761,38.9349521,-77.0739711,1618706969,11001001002
ASMU,razor,1618706761,38.9353573,-77.0583375,1618706969,11001001304
GL1G,razor,1618706761,38.9175378,-77.0478375,1618706969,11001004100
EMMP,razor,1618706761,38.9334778,-77.0735766,1618706969,11001000704
J5NM,razor,1618706761,38.9332855,-77.0571145,1618706969,11001001304
PJR6,razor,1618706761,38.9248108,-77.039306,1618706969,11001003802
D22Z,razor,1618706761,38.9271275,-77.0406873,1618706969,11001003901
CKY3,razor,1618706761,38.95762,-77.0205593,1618706969,11001002101
PCPY,razor,1618706761,38.8848666,-77.0150831,1618706969,11001010500
T8KL,razor,1618706761,38.9077221,-77.0690835,1618706969,11001000202
JS8F,razor,1618706761,38.9047366,-77.0532306,1618706969,11001005503
LBVB,razor,1618706761,38.9042218,-77.0546663,1618706969,11001005503
CU9X,razor,1618706761,38.9017046,-77.0485711,1618706969,11001010800
K46Q,razor,1618706761,38.9047821,-77.0485015,1618706969,11001005501
GW0A,razor,1618706761,38.9262063,-77.0679633,1618706969,11001000400
M9Z5,razor,1618706761,38.8991101,-77.047517,1618706969,11001010800
